Date;422 - Interest rate - Central Bank base rate (TBC) in annual terms - % p.y.
03/01/2000;19.04
04/01/2000;19.04
05/01/2000;19.05
06/01/2000;19.07
07/01/2000;19.07
10/01/2000;19.02
11/01/2000;18.98
12/01/2000;18.93
13/01/2000;18.92
14/01/2000;18.90
17/01/2000;18.91
18/01/2000;18.89
19/01/2000;18.87
20/01/2000;18.87
21/01/2000;18.87
24/01/2000;18.87
25/01/2000;18.87
26/01/2000;18.87
27/01/2000;18.87
28/01/2000;18.88
31/01/2000;18.90
01/02/2000;18.87
02/02/2000;18.86
03/02/2000;18.87
04/02/2000;18.88
07/02/2000;18.87
08/02/2000;18.87
09/02/2000;18.87
10/02/2000;18.87
11/02/2000;18.86
14/02/2000;18.87
15/02/2000;18.87
16/02/2000;18.87
17/02/2000;18.87
18/02/2000;18.87
21/02/2000;18.87
22/02/2000;18.87
23/02/2000;18.87
24/02/2000;18.87
25/02/2000;18.87
28/02/2000;18.87
29/02/2000;18.87
01/03/2000;18.88
02/03/2000;18.89
03/03/2000;18.88
08/03/2000;18.87
09/03/2000;18.87
10/03/2000;18.89
13/03/2000;18.88
14/03/2000;18.88
15/03/2000;18.88
16/03/2000;18.88
17/03/2000;18.88
20/03/2000;18.88
21/03/2000;18.87
22/03/2000;18.88
23/03/2000;18.91
24/03/2000;18.94
27/03/2000;19.03
28/03/2000;18.87
29/03/2000;18.60
30/03/2000;18.60
31/03/2000;18.52
03/04/2000;18.49
04/04/2000;18.53
05/04/2000;18.65
06/04/2000;18.66
07/04/2000;18.64
10/04/2000;18.59
11/04/2000;18.65
12/04/2000;18.64
13/04/2000;18.65
14/04/2000;18.64
17/04/2000;18.65
18/04/2000;18.63
19/04/2000;18.54
20/04/2000;18.65
24/04/2000;18.62
25/04/2000;18.61
26/04/2000;18.64
27/04/2000;18.65
28/04/2000;18.62
02/05/2000;18.60
03/05/2000;18.64
04/05/2000;18.64
05/05/2000;18.64
08/05/2000;18.59
09/05/2000;18.47
10/05/2000;18.47
11/05/2000;18.49
12/05/2000;18.46
15/05/2000;18.47
16/05/2000;18.50
17/05/2000;18.49
18/05/2000;18.48
19/05/2000;18.48
22/05/2000;18.49
23/05/2000;18.49
24/05/2000;18.49
25/05/2000;18.50
26/05/2000;18.50
29/05/2000;18.49
30/05/2000;18.46
31/05/2000;18.44
01/06/2000;18.44
02/06/2000;18.43
05/06/2000;18.41
06/06/2000;18.39
07/06/2000;18.37
08/06/2000;18.35
